Name,Date,Weight,Defenses,Primary Style
Jon Jones,03/04/2023,265,0,Wrestling
Francis Ngannou,03/27/2021,265,1,Boxing
Stipe Miocic,08/17/2019,265,1,Wrestling
Daniel Cormier,07/07/2018,265,1,Wrestling
Stipe Miocic,05/15/2017,265,3,Wrestling
Fabricio Werdum,06/13/2015,265,0,BJJ
Cain Velasquez,12/19/2012,265,2,Wrestling
Junior dos Santos,11/12/2011,265,1,Wrestling
Cain Velasquez,10/23/2010,265,2,Wrestling
Brock Lesnar,11/15/2008,265,2,Wrestling
Randy Couture,03/03/2007,265,2,Wrestling
Tim Sylvia,04/15/2006,265,2,Wrestling
Andrei Arlovski,02/05/2005,265,2,Judo
Frank Mir,06/19/2004,265,0,Wrestling
Tim Sylvia,02/28/2003,265,1,Wrestling
Ricco Rodriguez,09/27/2002,265,0,BJJ
Josh Barnett,03/22/2002,265,0,Wrestling
Randy Couture,11/17/2000,265,2,Wrestling
Kevin Randleman,11/19/1999,265,1,Wrestling
Bas Rutten,05/07/1999,265,0,Kickboxing
Randy Couture,12/21/1997,265,0,Wrestling
Maurice Smith,07/27/1997,265,1,Kickboxing
Mark Coleman,02/07/1997,265,0,Wrestling
Jamahal Hill,01/21/2023,205,0,BJJ
Jiri Prochazka,06/11/2022,205,0,Muay Thai
Glover Teixeira,10/30/2021,205,0,BJJ
Jan Blachowicz,09/26/2020,205,1,BJJ
Jon Jones,12/29/2018,205,3,Wrestling
Daniel Cormier,05/23/2015,205,2,Wrestling
Jon Jones,03/19/2011,205,8,Wrestling
Mauricio Rua,05/08/2010,205,0,Muay Thai
Lyoto Machida,05/23/2009,205,1,Karate
Rashad Evans,12/27/2008,205,0,Wrestling
Forrest Griffin,07/05/2008,205,0,BJJ
Quinton Jackson,05/26/2007,205,1,Wrestling
Chuck Liddell,04/16/2005,205,4,Kickboxing
Randy Couture,08/21/2004,205,0,Wrestling
Vitor Belfort,01/31/2004,205,0,BJJ
Randy Couture,09/26/2003,205,0,Wrestling
Tito Ortiz,04/14/2000,205,5,Wrestling
Frank Shamrock,09/21/1997,205,4,Wrestling
Israel Adesanya,04/08/2023,185,0,Kickboxing
Alex Pereira,11/12/2022,185,0,Kickboxing
Israel Adesanya,10/06/2019,185,4,Kickboxing
Robert Whittaker,07/08/2017,185,0,Karate
Georges St-Pierre,11/04/2017,185,0,Karate
Michael Bisping,06/04/2016,185,0,BJJ
Luke Rockhold,12/12/2015,185,1,BJJ
Chris Weidman,07/06/2013,185,3,Wrestling
Anderson Silva,10/14/2006,185,10,Taekwondo
Rich Franklin,06/04/2005,185,2,BJJ
Evan Tanner,02/05/2005,185,0,Wrestling
Murilo Bustamante,01/11/2002,185,1,BJJ
Dave Menne,09/28/2001,185,0,Wrestling
Leon Edwards,08/20/2022,170,1,Kickboxing
Kamaru Usman,03/02/2019,170,5,Wrestling
Tyron Woodley,07/30/2016,170,4,Wrestling
Robbie Lawler,12/06/2014,170,2,Wrestling
Johny Hendricks,03/15/2014,170,0,Wrestling
Georges St-Pierre,04/19/2008,170,9,Karate
Matt Serra,04/07/2007,170,0,BJJ
Georges St-Pierre,11/18/2006,170,0,Karate
Matt Hughes,10/22/2004,170,2,Wrestling
BJ Penn,01/31/2004,170,0,BJJ
Matt Hughes,11/02/2001,170,5,Wrestling
Carlos Newton,05/04/2001,170,0,BJJ
Pat Miletich,10/16/1998,170,4,Wrestling
Islam Makhachev,10/22/2022,155,1,Wrestling
Charles Oliveira,05/15/2021,155,1,BJJ
Khabib Nurmagomedov,04/07/2018,155,3,Wrestling
Conor McGregor,11/12/2016,155,0,Boxing
Eddie Alvarez,07/07/2016,155,0,BJJ
Rafael dos Anjos,03/14/2015,155,1,BJJ
Anthony Pettis,08/31/2013,155,1,Taekwondo
Benson Henderson,02/26/2012,155,3,Taekwondo
Frankie Edgar,04/10/2010,155,3,Wrestling
BJ Penn,01/19/2008,155,3,BJJ
Sean Sherk,10/14/2006,155,1,Wrestling
Jens Pulver,02/23/2001,155,2,Kickboxing
Alexander Volkanovski,12/14/2019,145,3,Boxing
Max Holloway,06/03/2017,145,3,Boxing
Conor McGregor,12/12/2015,145,0,Boxing
Jose Aldo,11/20/2010,145,7,BJJ
Aljamain Sterling,03/06/2021,135,2,BJJ
Petr Yan,07/11/2020,135,0,Boxing
Henry Cejudo,08/14/2018,135,1,Wrestling
TJ Dillashaw,11/04/2017,135,1,Wrestling
Cody Garbrandt,12/30/2016,135,0,Wrestling
Dominick Cruz,01/17/2016,135,1,Wrestling
TJ Dillashaw,05/14/2014,135,2,Wrestling
Renan Barao,01/06/2014,135,1,BJJ
Dominick Cruz,12/16/2010,135,2,Wrestling
Brandon Moreno,01/21/2023,125,0,MMA
Deiveson Figueiredo,01/22/2022,125,0,BJJ
Brandon Moreno,06/12/2021,125,0,MMA
Deiveson Figueiredo,07/18/2020,125,2,BJJ
Henry Cejudo,08/04/2018,125,1,Wrestling
Demetrious Johnson,09/22/2012,125,11,Wrestling
